odsCode,Status,LegalEndDate,OperationalEndDate,ParentCode,ParentWithCOV,Comment
F4X2U,Inactive,03/01/2022,03/01/2022,FD823,FD823COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
N9B8M,Inactive,01/12/2022,01/12/2022,FCT40,FCT40COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
G6J2R,Inactive,16/02/2023,16/02/2023,FEG84,FEG84COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
U3V8Q,Inactive,28/02/2023,28/02/2023,FCP08,FCP08COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
K1P8H,Inactive,28/02/2023,28/02/2023,FVJ14,FVJ14COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
L5U0W,Inactive,28/02/2023,28/02/2023,FYR45,FYR45COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
S3J6S,Inactive,31/03/2023,31/03/2023,FXE30,FXE30COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
B0K2C,Inactive,31/03/2023,31/03/2023,FVW04,FVW04COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
B2V9K,Inactive,31/03/2023,31/03/2023,FKW61,FKW61COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
C1Q1K,Inactive,31/03/2023,31/03/2023,FWH37,FWH37COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
D8I8S,Inactive,31/03/2023,31/03/2023,FPE01,FPE01COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
G4T3L,Inactive,31/03/2023,31/03/2023,FMN17,FMN17COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
K9E1Y,Inactive,31/03/2023,31/03/2023,FEG83,FEG83COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
O5V7X,Inactive,31/03/2023,31/03/2023,FWG91,FWG91COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
I3F0K,Inactive,31/03/2023,31/03/2023,FRH97,FRH97COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
M5M8X,Inactive,31/03/2023,31/03/2023,FQR36,FQR36COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
J6J4J,Inactive,31/03/2023,31/03/2023,FDA75,FDA75COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
J9K7H,Inactive,31/03/2023,31/03/2023,FFX78,FFX78COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
K0L3Z,Inactive,31/03/2023,31/03/2023,FXL08,FXL08COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
K4Q1G,Inactive,31/03/2023,31/03/2023,FX727,FX727COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
K5S2P,Inactive,31/03/2023,31/03/2023,FMF18,FMF18COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
K9Q8P,Inactive,31/03/2023,31/03/2023,FTD88,FTD88COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
C0K6Y,Inactive,31/03/2023,31/03/2023,FDT12,FDT12COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
L4I3Z,Inactive,31/03/2023,31/03/2023,FFH03,FFH03COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
C7A2P,Inactive,31/03/2023,31/03/2023,FKX92,FKX92COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
F9U6M,Inactive,31/03/2023,31/03/2023,FL396,FL396COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
I2Q7M,Inactive,31/03/2023,31/03/2023,FV086,FV086COV,"Optum to amend current code -> parent F code, replay any failed records to NHSBSA, alert site to code change"
