odsCode,cdbNumber
FA008,600033282
FA037,600033288
FA041,600033289
FA049,600033292
FA052,600033294
FA058,600033298
FA066,600033300
FA076,600033301
FA084,600033303
FA088,600033305
FA121,600033311
FA129,600033313
FA148,600038995
FA155,600037624
FA174,600037787
FA176,600033322
FA200,600033328
FA207,600033330
FA217,600033331
FA227,600033332
FA231,600033333
FA250,600041198
FA252,600033335
FA256,600033336
FA271,600033339
FA274,600033341
FA290,600033345
FA296,600033347
FA297,600033348
FA316,600000732
FA328,600033353
FA339,600036726
FA342,600033354
FA349,600037233
FA368,600000953
FA369,600033355
FA384,600040617
FA387,600033358
FA391,600000702
FA414,600033365
FA415,600033366
FA430,600042038
FA433,600000848
FA437,600033373
FA448,600090411
FA456,600033377
FA473,600033382
FA482,600033383
FA497,600036038
FA519,600033391
FA536,600040891
FA538,600000875
FA539,600033394
FA544,600033395
FA545,600033396
FA553,600033400
FA561,600033402
FA565,600033404
FA571,600033406
FA595,600091811
FA596,600086541
FA613,600033413
FA632,600033417
FA636,600040703
FA647,600033420
FA653,600033422
FA658,600033423
FA663,600000769
FA669,600036816
FA670,600037823
FA671,600033426
FA673,600033427
FA676,600033429
FA677,600000814
FA688,600033431
FA698,600000419
FA704,600033434
FA709,600033435
FA731,600033438
FA736,600033439
FA737,600033440
FA742,600033441
FA770,600034979
FA773,600033447
FA775,600033448
FA794,600037850
FA818,600033454
FA821,600033456
FA824,600000705
FA847,600001215
FA875,600033463
FA876,600033464
FA884,600039136
FA906,600033469
FA919,600000735
FA945,600033472
FA976,600033473
FAA02,600033475
FAA09,600033476
FAA43,600000171
FAA49,600033481
FAA53,600037619
FAA69,600033483
FAA83,600000263
FAA94,600033484
FAC00,600033485
FAC02,600033486
FAC08,600033487
FAC25,600033490
FAC36,600033492
FAC55,600033494
FAC64,600033496
FAC71,600000787
FAC81,600033498
FAC82,600033499
FAD08,600033504
FAD13,600001196
FAD26,600043270
FAD69,600035609
FAD89,600000674
FAD92,600033516
FAE00,600033519
FAE25,600036492
FAE26,600033522
FAE37,600033524
FAE51,600033527
FAE57,600000837
FAE81,600040831
FAE86,600000716
FAE92,600033533
FAF04,600033513
FAF05,600094701
FAF29,600033540
FAF31,600033216
FAF34,600033541
FAF47,600033545
FAF52,600033547
FAF65,600033548
FAF69,600033549
FAF76,600033550
FAF84,600033887
FAF91,600033551
FAF98,600033553
FAG01,600033554
FAG14,600033556
FAG20,600033558
FAG42,600033561
FAG47,600034007
FAG52,600042321
FAG61,600033562
FAG79,600033564
FAG81,600033566
FAG83,600033567
FAH10,600033572
FAH16,600033574
FAH18,600033575
FAH31,600033578
FAH36,600033580
FAH58,600000790
FAH73,600042304
FAH83,600043722
FAH85,600033586
FAJ00,600033588
FAJ15,600033592
FAJ19,600033593
FAJ38,600000753
FAJ46,600033596
FAJ48,600033597
FAJ57,600033599
FAJ75,600039183
FAJ76,600033600
FAJ83,600039942
FAJ98,600043615
FAK06,600033608
FAK16,600033609
FAK33,600033612
FAK52,600033617
FAK78,600033622
FAK79,600033623
FAK80,600033624
FAK83,600033625
FAL02,600040784
FAL03,600033627
FAL04,600033628
FAL14,600033631
FAL24,600042962
FAL25,600033633
FAL29,600033634
FAL33,600033635
FAL49,600033640
FAL54,600033641
FAL67,600041195
FAM03,600033653
FAM05,600033543
FAM12,600033654
FAM17,600033656
FAM62,600033660
FAM66,600033661
FAM79,600033664
FAM85,600001202
FAM90,600033665
FAM93,600033666
FAM95,600033667
FAN08,600033671
FAN35,600033674
FAN38,600034977
FAN43,600033675
FAN50,600033392
FAN61,600033677
FAN67,600033679
FAN75,600033682
FAN94,600089281
FAN95,600033217
FAP12,600036460
FAP17,600038844
FAP25,600033687
FAP40,600033691
FAP44,600033692
FAP45,600033693
FAP54,600033695
FAP57,600033696
FAP59,600033697
FAP80,600033700
FAP90,600033701
FAP99,600033703
FAQ06,600089931
FAQ22,600033706
FAQ24,600033707
FAQ36,600042450
FAQ38,600036482
FAQ51,600033714
FAQ59,600033716
FAQ61,600033717
FAQ64,600033720
FAQ87,600033722
FAR04,600033724
FAR16,600033725
FAR24,600033727
FAR28,600033728
FAR64,600033733
FAR67,600033736
FAR75,600033737
FAT05,600035747
FAT07,600035831
FAT08,600000580
FAT67,600033750
FAT69,600033752
FAT70,600001257
FAV22,600033760
FAV34,600033764
FAV45,600042335
FAV53,600033767
FAV70,600041173
FAV83,600042263
FAW01,600035531
FAW19,600033773
FAW39,600033775
FAW56,600033778
FAW73,600001182
FAW77,600034823
FAW93,600033782
FAX00,600037006
FAX03,600034957
FAX17,600041778
FAX21,600033789
FAX22,600033790
FAX31,600033791
FAX39,600039180
FAX44,600033793
FAX49,600033805
FAX58,600033795
FAX78,600033798
FAX82,600033800
FAX94,600033803
FAY20,600037226
FAY41,600033806
FAY44,600033808
FAY45,600033809
FAY51,600033810
FAY98,600033814
FC001,600035125
FC007,600033817
FC009,600033818
FC015,600042690
FC028,600033823
FC029,600041463
FC031,600040271
FC045,600033826
FC061,600033830
FC067,600000386
FC072,600033832
FC083,600033835
FC084,600033836
FC090,600036902
FC091,600033838
FC096,600033840
FC104,600042970
FC109,600033842
FC116,600033844
FC155,600033847
FC177,600033854
FC198,600033860
FC215,600033862
FC221,600033865
FC230,600089061
FC248,600033869
FC253,600033870
FC269,600091771
FC300,600033881
FC301,600033882
FC307,600033883
FC312,600033885
FC318,600033886
FC320,600000810
FC324,600033889
FC331,600033892
FC336,600033894
FC337,600033895
FC339,600033896
FC368,600001235
FC380,600037811
FC396,600033906
FC400,600033909
FC408,600000172
FC419,600033915
FC420,600033916
FC432,600033917
FC434,600036655
FC436,600037761
FC440,600033238
FC443,600033919
FC447,600001050
FC472,600033927
FC484,600033930
FC486,600033218
FC495,600033932
FC500,600033933
FC501,600033934
FC506,600033936
FC528,600038437
FC540,600000856
FC542,600033946
FC547,600033947
FC549,600033949
FC554,600033951
FC561,600034555
FC574,600033955
FC583,600033956
FC602,600040865
FC667,600033966
FC683,600033969
FC693,600033974
FC707,600033977
FC720,600033979
FC722,600033980
FC731,600034403
FC741,600033983
FC757,600001017
FC776,600000945
FC777,600033987
FC787,600000250
FC789,600033989
FC797,600033991
FC815,600033994
FC816,600040556
FC818,600092461
FC832,600033998
FC857,600034000
FC859,600034001
FC864,600034003
FC880,600034006
FC884,600039705
FC895,600042626
FC898,600034010
FC958,600034015
FC968,600034017
FC972,600001236
FC991,600000758
FC997,600034019
FCA00,600034020
FCA27,600040340
FCA77,600034025
FCC02,600034027
FCC05,600034028
FCC18,600034030
FCC27,600034031
FCC37,600034033
FCC39,600033859
FCC58,600034036
FCC65,600001011
FCC69,600043766
FCD08,600033219
FCD13,600034043
FCD37,600034044
FCD79,600035840
FCD83,600042375
FCE18,600034048
FCE26,600034050
FCE37,600036563
FCE38,600034052
FCE39,600000387
FCE42,600034053
FCE76,600034058
FCE79,600034059
FCE94,600034063
FCF02,600034064
FCF11,600034066
FCF18,600034069
FCF21,600034070
FCF31,600034074
FCF47,600034076
FCF54,600036162
FCF66,600034079
FCF82,600034082
FCG05,600043737
FCG07,600034090
FCG10,600034091
FCG18,600034093
FCG26,600034095
FCG28,600034096
FCG29,600034097
FCG39,600034098
FCG62,600034102
FCG94,600034106
FCH04,600034932
FCH09,600034110
FCH16,600034111
FCH32,600034114
FCH47,600037359
FCH51,600034115
FCH56,600034116
FCH57,600034117
FCH60,600034118
FCH75,600034121
FCH78,600034123
FCH85,600036059
FCH97,600044161
FCJ00,600034126
FCJ05,600034129
FCJ39,600036703
FCJ53,600034137
FCJ67,600034142
FCJ71,600034143
FCJ72,600034144
FCJ99,600034148
FCK23,600034152
FCK24,600034153
FCK30,600000203
FCK48,600034159
FCK50,600034160
FCK54,600034161
FCK57,600034162
FCK75,600034164
FCK76,600034165
FCK86,600034167
FCK87,600034168
FCK97,600041795
FCL01,600034172
FCL02,600039298
FCL17,600034177
FCL20,600033285
FCL44,600034183
FCL69,600034187
FCL91,600034190
FCL96,600035319
FCM01,600034192
FCM04,600034194
FCM07,600034195
FCM12,600042277
FCM15,600041066
FCM31,600034197
FCM43,600034201
FCM46,600034202
FCM77,600034211
FCM82,600043147
